plot_id,tree_id,species,species_code,dbh_cm,height_m,agb_kg
P005,P005-35,Douglas-fir,FDC,15.6,14.3,216.6
P005,P005-36,Western hemlock,HW,32.9,27.2,792.3
P005,P005-37,Douglas-fir,FDC,21.9,18.2,421.8
P005,P005-38,Western hemlock,HW,15.0,15.1,176.5
P005,P005-39,Red alder,DR,18.5,16.9,222.2
P005,P005-40,Bigleaf maple,MB,17.6,17.0,235.2
P005,P005-41,Western hemlock,HW,23.2,20.9,461.3
P005,P005-42,Western hemlock,HW,16.5,14.1,209.2
P005,P005-43,Douglas-fir,FDC,19.8,16.8,321.7
P005,P005-44,Douglas-fir,FDC,17.1,15.0,241.5
P005,P005-45,Western hemlock,HW,35.1,24.4,898.6
P005,P005-46,Douglas-fir,FDC,15.2,13.3,178.2
P005,P005-47,Red alder,DR,18.1,15.5,219.5
P005,P005-48,Douglas-fir,FDC,33.4,24.8,845.9
P005,P005-49,Douglas-fir,FDC,16.4,13.4,231.2
P005,P005-50,Douglas-fir,FDC,57.9,33.3,2877.9
P005,P005-51,Douglas-fir,FDC,21.0,15.5,371.2
P005,P005-52,Bigleaf maple,MB,16.1,13.7,179.4
P005,P005-53,Douglas-fir,FDC,14.4,12.5,158.7
P005,P005-54,Douglas-fir,FDC,20.2,17.4,334.7
P005,P005-55,Douglas-fir,FDC,14.5,13.4,177.8
P005,P005-56,Douglas-fir,FDC,23.7,21.1,454.5
P005,P005-57,Western hemlock,HW,21.8,20.6,368.7
P005,P005-58,Douglas-fir,FDC,18.5,19.4,269.8
P005,P005-59,Douglas-fir,FDC,25.3,21.1,510.7
P005,P005-60,Douglas-fir,FDC,17.8,17.4,239.9
P005,P005-61,Douglas-fir,FDC,41.0,30.4,1456.6
P005,P005-62,Douglas-fir,FDC,13.4,11.4,147.4
P005,P005-63,Red alder,DR,18.5,15.9,200.3
P005,P005-64,Douglas-fir,FDC,16.2,14.0,201.7
P005,P005-65,Red alder,DR,25.4,19.5,406.2
P005,P005-66,Western hemlock,HW,33.9,24.2,962.6
P005,P005-67,Western hemlock,HW,14.8,13.1,183.8
P005,P005-68,Western redcedar,CW,37.4,21.1,819.1
P005,P005-69,Western hemlock,HW,20.7,18.2,340.0
P005,P005-70,Western hemlock,HW,15.5,14.3,177.2
P005,P005-71,Western hemlock,HW,14.1,13.5,154.6
P005,P005-72,Bigleaf maple,MB,13.0,8.9,120.9
P005,P005-73,Western hemlock,HW,8.4,3.8,52.7
P005,P005-74,Douglas-fir,FDC,23.9,18.2,507.1
P005,P005-75,Douglas-fir,FDC,16.3,14.4,197.4
P005,P005-76,Western hemlock,HW,13.5,11.6,144.2
P005,P005-77,Western hemlock,HW,14.8,11.9,162.1
P005,P005-78,Douglas-fir,FDC,21.0,19.3,338.7
P005,P005-79,Western redcedar,CW,14.7,10.2,135.3
P005,P005-80,Douglas-fir,FDC,36.4,27.1,1070.0
P006,P006-01,Western hemlock,HW,52.0,28.3,2115.1
P006,P006-02,Douglas-fir,FDC,18.5,17.5,265.4
P006,P006-03,Douglas-fir,FDC,9.2,8.1,68.5
P006,P006-04,Western hemlock,HW,19.4,16.8,275.1
P006,P006-05,Red alder,DR,14.2,10.3,123.7
P006,P006-06,Western redcedar,CW,23.6,15.7,325.2
P006,P006-07,Western hemlock,HW,31.7,24.1,824.9
P006,P006-08,Western hemlock,HW,32.3,24.9,790.3
P006,P006-09,Western redcedar,CW,15.9,11.4,167.4
P006,P006-10,Western hemlock,HW,23.4,19.1,446.4
P006,P006-11,Western hemlock,HW,11.2,12.6,102.5
P006,P006-12,Western hemlock,HW,16.4,16.6,223.0
P006,P006-13,Douglas-fir,FDC,20.9,16.7,339.6
P006,P006-14,Douglas-fir,FDC,60.5,36.1,3059.0
P006,P006-15,Douglas-fir,FDC,20.5,16.1,381.8
P006,P006-16,Western redcedar,CW,21.3,13.9,277.7
P006,P006-17,Western hemlock,HW,18.4,18.6,250.7
P006,P006-18,Western hemlock,HW,13.9,14.0,161.4
P006,P006-19,Douglas-fir,FDC,13.7,13.2,163.8
P006,P006-20,Western redcedar,CW,14.8,12.1,136.6
P006,P006-21,Douglas-fir,FDC,19.0,14.2,312.1
P006,P006-22,Douglas-fir,FDC,7.5,8.8,41.7
P006,P006-23,Western redcedar,CW,32.9,19.6,653.3
P006,P006-24,Douglas-fir,FDC,19.4,18.1,315.5
P006,P006-25,Western hemlock,HW,15.6,15.5,185.0
P006,P006-26,Douglas-fir,FDC,21.8,20.0,398.3
P006,P006-27,Douglas-fir,FDC,18.4,15.7,291.3
P006,P006-28,Douglas-fir,FDC,28.9,22.3,663.4
P006,P006-29,Western hemlock,HW,28.1,23.0,622.7
P006,P006-30,Western redcedar,CW,15.0,12.1,146.3
P006,P006-31,Western hemlock,HW,11.4,12.4,99.8
P006,P006-32,Douglas-fir,FDC,25.7,19.6,600.5
P006,P006-33,Red alder,DR,71.2,28.3,3768.8
P006,P006-34,Douglas-fir,FDC,14.8,14.7,163.3
P006,P006-35,Western hemlock,HW,25.4,21.4,481.4
P006,P006-36,Red alder,DR,49.8,26.6,1765.6
P006,P006-37,Western redcedar,CW,29.9,18.5,583.2
P006,P006-38,Douglas-fir,FDC,25.2,20.6,516.7
P006,P006-39,Douglas-fir,FDC,22.2,15.6,398.4
P006,P006-40,Western hemlock,HW,15.9,15.3,209.6
P006,P006-41,Red alder,DR,14.8,12.6,124.9
P006,P006-42,Douglas-fir,FDC,15.3,15.1,192.7
P006,P006-43,Western hemlock,HW,21.9,20.0,341.3
P007,P007-01,Western redcedar,CW,50.8,26.4,1641.4
P007,P007-02,Western hemlock,HW,29.3,26.4,730.7
P007,P007-03,Douglas-fir,FDC,35.7,25.8,1030.1
P007,P007-04,Western redcedar,CW,38.2,22.1,900.0
P007,P007-05,Douglas-fir,FDC,36.6,24.5,1118.0
P007,P007-06,Western redcedar,CW,47.5,26.3,1492.7
P007,P007-07,Western hemlock,HW,27.7,20.9,669.4
P007,P007-08,Douglas-fir,FDC,65.6,35.1,3468.7
P007,P007-09,Western hemlock,HW,49.1,34.8,1777.9
P007,P007-10,Western hemlock,HW,7.5,9.8,46.6
P007,P007-11,Western redcedar,CW,15.4,13.1,164.7
P007,P007-12,Douglas-fir,FDC,43.7,31.7,1677.5
P007,P007-13,Bigleaf maple,MB,99.8,31.5,8237.5
P007,P007-14,Western redcedar,CW,22.9,14.3,366.7
P007,P007-15,Douglas-fir,FDC,79.4,42.1,5461.9
P007,P007-16,Douglas-fir,FDC,30.7,25.7,783.9
P007,P007-17,Western hemlock,HW,63.1,36.2,3361.7
P007,P007-18,Western hemlock,HW,42.7,26.2,1377.4
P007,P007-19,Western hemlock,HW,60.9,35.8,3015.8
P007,P007-20,Douglas-fir,FDC,29.1,21.7,759.2
P007,P007-21,Douglas-fir,FDC,29.7,20.5,761.3
P007,P007-22,Douglas-fir,FDC,27.3,20.7,676.3
P007,P007-23,Western redcedar,CW,15.4,12.5,141.7
P007,P007-24,Western redcedar,CW,21.3,15.0,316.0
P007,P007-25,Western redcedar,CW,25.6,14.7,431.8
P007,P007-26,Western redcedar,CW,30.8,17.3,586.0
P007,P007-27,Western hemlock,HW,54.6,30.2,2344.6
P007,P007-28,Western redcedar,CW,25.5,17.6,412.7
P007,P007-29,Douglas-fir,FDC,27.4,22.3,667.8
P007,P007-30,Sitka spruce,SS,45.7,31.4,1448.9
P007,P007-31,Western hemlock,HW,11.8,8.3,99.5
P007,P007-32,Western redcedar,CW,11.2,8.6,77.1
P007,P007-33,Western hemlock,HW,36.8,26.5,982.1
P007,P007-34,Sitka spruce,SS,33.3,26.1,902.1
P007,P007-35,Western redcedar,CW,56.0,30.6,2033.7
P007,P007-36,Western redcedar,CW,41.3,23.5,1083.7
P007,P007-37,Bigleaf maple,MB,54.2,24.4,2507.7
P007,P007-38,Douglas-fir,FDC,73.9,38.0,4299.8
P007,P007-39,Douglas-fir,FDC,60.7,35.0,2841.3
P007,P007-40,Western hemlock,HW,78.7,40.0,5192.7
P007,P007-41,Western redcedar,CW,34.6,19.0,844.0
P007,P007-42,Western redcedar,CW,57.4,29.9,2306.6
P007,P007-43,Douglas-fir,FDC,34.9,24.1,966.3
P007,P007-44,Douglas-fir,FDC,63.3,35.8,3319.7
P008,P008-01,Western hemlock,HW,47.2,27.6,1972.3
P008,P008-02,Douglas-fir,FDC,13.0,10.4,151.4
P008,P008-03,Western hemlock,HW,30.0,24.1,668.4
P008,P008-04,Douglas-fir,FDC,60.7,34.2,3396.4
P008,P008-05,Sitka spruce,SS,77.2,41.3,4232.0
P008,P008-06,Western hemlock,HW,27.5,20.9,569.7
P008,P008-07,Bigleaf maple,MB,50.0,20.8,2116.6
P008,P008-08,Western redcedar,CW,21.3,12.3,300.2
P008,P008-09,Western redcedar,CW,103.7,38.0,7042.9
P008,P008-10,Douglas-fir,FDC,24.7,18.7,526.4
P008,P008-11,Western redcedar,CW,19.3,11.7,258.9
P008,P008-12,Western hemlock,HW,20.6,18.9,322.8
P008,P008-13,Western redcedar,CW,26.0,17.6,458.6
P008,P008-14,Douglas-fir,FDC,108.5,43.1,10942.1
P008,P008-15,Douglas-fir,FDC,14.2,10.1,176.1
P008,P008-16,Western redcedar,CW,47.8,24.9,1494.8
P008,P008-17,Douglas-fir,FDC,43.6,28.8,1582.6
P008,P008-18,Douglas-fir,FDC,35.6,26.5,1009.0
P008,P008-19,Western hemlock,HW,165.0,42.8,22174.0
P008,P008-20,Sitka spruce,SS,39.8,31.1,1188.5
P008,P008-21,Western hemlock,HW,90.6,42.5,6862.3
P008,P008-22,Western redcedar,CW,99.0,35.1,6555.2
P008,P008-23,Sitka spruce,SS,43.7,32.0,1433.0
P008,P008-24,Western redcedar,CW,12.7,9.8,103.8
P008,P008-25,Sitka spruce,SS,43.7,28.9,1363.8
P008,P008-26,Western redcedar,CW,37.8,19.3,872.6
P008,P008-27,Douglas-fir,FDC,21.4,18.9,416.5
P008,P008-28,Douglas-fir,FDC,45.4,29.5,1875.8
P008,P008-29,Douglas-fir,FDC,69.6,35.3,4427.1
P008,P008-30,Douglas-fir,FDC,25.0,19.8,523.4
P009,P009-01,Douglas-fir,FDC,12.8,15.3,143.5
P009,P009-02,Western redcedar,CW,22.6,17.4,341.1
P009,P009-03,Red alder,DR,9.0,8.2,45.5
P009,P009-04,Douglas-fir,FDC,15.5,14.2,193.6
P009,P009-05,Western redcedar,CW,30.1,18.9,544.5
P009,P009-06,Red alder,DR,11.9,12.1,92.7
P009,P009-07,Douglas-fir,FDC,40.4,27.3,1416.0
P009,P009-08,Douglas-fir,FDC,36.6,24.9,1066.6
P009,P009-09,Bigleaf maple,MB,20.9,15.7,354.3
P009,P009-10,Red alder,DR,10.8,12.1,74.7
P009,P009-11,Western hemlock,HW,16.3,11.6,190.5
P009,P009-12,Western hemlock,HW,15.0,14.4,169.8
